state,year,crop,yield_bu_acre,avg_temp_f,max_temp_f,min_temp_f,precip_in,drought_index,total_cropland_acres,irrigation_acre_in_per_acre,water_use_acre_in,price_per_bu
WI,2018,corn,161.74,64.41,79.24,49.27,25.43,0.17,9264480,2.93,22.0,4.3
WI,2019,corn,186.16,67.89,84.32,49.04,38.51,0.787,9183085,3.2,22.0,4.3
WI,2020,corn,186.26,67.62,86.85,49.82,29.21,0.771,9024048,2.93,22.0,4.3
WI,2021,corn,187.44,67.35,84.56,47.39,40.08,0.731,9212625,3.1,22.0,4.3
WI,2022,corn,156.65,68.05,87.47,53.78,31.08,1.589,9087454,2.94,22.0,4.3
WI,2023,corn,208.68,67.3,86.31,52.36,30.68,0.397,9112714,3.02,22.0,4.3
IA,2000,soybean,45.39,70.43,87.06,51.28,37.29,0.0,26085785,2.01,18.0,11.5
IA,2001,soybean,47.04,68.21,86.78,49.5,33.94,0.259,26223140,1.87,18.0,11.5
IA,2002,soybean,45.44,71.16,89.02,52.22,33.25,1.427,25830796,2.17,18.0,11.5
IA,2003,soybean,48.08,70.62,85.0,51.66,33.83,0.526,26291243,2.11,18.0,11.5
IA,2004,soybean,42.05,69.19,89.01,49.83,32.5,0.459,25725076,2.03,18.0,11.5
IA,2005,soybean,39.4,70.92,85.18,55.99,35.51,1.457,26189717,1.87,18.0,11.5
IA,2006,soybean,30.09,69.49,85.72,52.68,34.35,2.322,26171495,2.02,18.0,11.5
IA,2007,soybean,47.44,69.07,84.43,51.05,36.6,0.817,25984466,1.89,18.0,11.5
IA,2008,soybean,49.66,69.35,88.18,53.02,34.77,0.949,26160464,2.15,18.0,11.5
IA,2009,soybean,47.85,70.63,85.83,56.58,35.01,0.853,26024174,2.08,18.0,11.5
IA,2010,soybean,49.82,68.31,86.99,51.56,31.76,0.49,25927128,2.01,18.0,11.5
IA,2011,soybean,57.09,72.48,90.49,55.65,28.11,0.466,26136051,1.76,18.0,11.5
IA,2012,soybean,46.77,71.24,88.6,55.42,29.85,1.85,25959807,1.9,18.0,11.5
IA,2013,soybean,61.86,71.66,88.11,52.54,30.03,0.232,26355200,2.07,18.0,11.5
IA,2014,soybean,51.86,71.19,86.95,53.21,32.5,0.663,25988828,2.12,18.0,11.5
IA,2015,soybean,54.82,71.4,87.84,52.52,31.68,0.455,26499335,2.11,18.0,11.5
IA,2016,soybean,51.86,70.03,88.36,53.25,32.36,0.605,26021683,1.84,18.0,11.5
IA,2017,soybean,50.38,71.22,87.9,54.93,30.58,1.52,26204360,2.03,18.0,11.5
IA,2018,soybean,52.58,68.27,82.79,53.56,30.51,0.76,26209664,2.1,18.0,11.5
IA,2019,soybean,52.86,69.4,84.99,49.58,32.75,0.895,26744975,1.83,18.0,11.5
IA,2020,soybean,54.34,69.39,85.03,54.81,32.81,0.936,26503249,2.0,18.0,11.5
IA,2021,soybean,58.37,68.32,84.15,50.84,31.92,0.022,26380824,2.03,18.0,11.5
IA,2022,soybean,51.59,70.03,86.62,52.26,36.43,2.063,26589549,1.97,18.0,11.5
IA,2023,soybean,56.05,69.37,85.87,55.12,38.76,0.934,25920449,1.81,18.0,11.5
IL,2000,soybean,48.71,72.5,87.12,54.97,35.76,0.229,23989647,1.97,18.0,11.5
IL,2001,soybean,50.05,71.49,87.57,53.94,37.22,0.012,24498986,1.97,18.0,11.5
IL,2002,soybean,36.89,72.51,87.01,55.59,45.27,2.048,24070213,1.99,18.0,11.5
IL,2003,soybean,48.2,70.72,87.56,55.12,35.15,0.434,24073938,1.94,18.0,11.5
IL,2004,soybean,46.53,71.28,85.41,52.33,38.55,0.537,24208771,1.96,18.0,11.5
IL,2005,soybean,46.5,70.73,85.38,52.69,37.81,1.307,24311805,2.0,18.0,11.5
IL,2006,soybean,41.63,73.59,93.08,58.2,31.05,1.879,23633506,2.04,18.0,11.5
IL,2007,soybean,44.35,75.22,94.2,56.38,34.84,0.973,23728380,1.97,18.0,11.5
IL,2008,soybean,51.29,72.82,89.91,57.28,35.71,0.778,24204392,1.96,18.0,11.5
IL,2009,soybean,44.25,71.68,88.29,51.72,38.6,1.232,23999994,2.01,18.0,11.5
IL,2010,soybean,53.66,72.57,91.93,55.46,42.57,0.688,24509405,1.81,18.0,11.5
IL,2011,soybean,53.48,71.81,88.05,57.24,43.38,0.673,24134892,2.05,18.0,11.5
IL,2012,soybean,38.72,70.5,85.24,51.52,33.41,2.184,23761655,2.0,18.0,11.5
IL,2013,soybean,48.69,74.5,93.75,59.32,34.87,0.857,23942111,2.0,18.0,11.5
IL,2014,soybean,50.29,71.94,88.94,57.07,39.18,1.163,23601486,2.1,18.0,11.5
IL,2015,soybean,58.81,72.65,90.72,57.92,37.83,0.263,24231135,1.8,18.0,11.5
IL,2016,soybean,63.35,70.85,86.05,52.03,41.21,0.069,24261409,1.8,18.0,11.5
IL,2017,soybean,41.03,71.92,87.72,54.99,37.76,2.066,24223143,2.03,18.0,11.5
IL,2018,soybean,54.93,72.41,91.96,58.26,38.85,0.671,24608259,2.0,18.0,11.5
IL,2019,soybean,47.95,71.15,85.99,54.63,46.81,1.351,24656816,2.02,18.0,11.5
IL,2020,soybean,53.28,71.51,90.33,54.7,35.93,0.726,24342452,1.95,18.0,11.5
IL,2021,soybean,53.51,74.42,93.4,55.64,30.48,0.535,23882266,2.07,18.0,11.5
IL,2022,soybean,52.44,72.03,88.27,55.47,34.46,1.303,24573154,2.09,18.0,11.5
IL,2023,soybean,51.92,70.75,86.24,55.33,34.16,1.335,24577338,2.05,18.0,11.5
IN,2000,soybean,53.96,70.57,86.45,52.11,38.83,0.0,13044944,2.07,18.0,11.5
IN,2001,soybean,50.05,68.94,85.18,54.02,37.48,0.0,13165174,1.96,18.0,11.5
IN,2002,soybean,35.27,70.31,90.28,51.68,35.25,1.851,13000874,2.02,18.0,11.5
IN,2003,soybean,44.39,68.92,85.25,51.07,39.7,0.816,13102897,2.09,18.0,11.5
IN,2004,soybean,47.88,71.62,86.61,56.63,43.14,1.152,12949908,1.94,18.0,11.5
IN,2005,soybean,45.5,69.82,88.85,49.87,39.33,1.062,13036420,1.94,18.0,11.5
IN,2006,soybean,45.28,73.25,91.78,56.64,42.61,1.548,12850669,1.88,18.0,11.5
IN,2007,soybean,50.64,69.93,89.37,55.66,34.52,0.755,12766328,1.89,18.0,11.5
IN,2008,soybean,53.88,70.53,88.04,53.57,37.25,0.0,13206543,1.82,18.0,11.5
IN,2009,soybean,43.41,70.16,87.98,52.26,39.11,0.436,12964628,2.07,18.0,11.5
IN,2010,soybean,49.89,71.63,87.83,54.4,42.32,0.654,13044307,2.18,18.0,11.5
IN,2011,soybean,55.92,72.16,90.78,53.05,39.7,0.377,12932576,2.14,18.0,11.5
IN,2012,soybean,47.1,69.97,86.02,52.98,34.87,1.532,12939744,1.84,18.0,11.5
IN,2013,soybean,53.3,71.36,90.86,53.57,37.32,0.86,13112366,2.07,18.0,11.5
IN,2014,soybean,46.96,72.53,86.67,52.96,41.92,0.575,13049692,2.14,18.0,11.5
IN,2015,soybean,53.39,69.5,83.54,53.83,36.85,0.576,13205725,1.95,18.0,11.5
IN,2016,soybean,50.51,69.52,87.25,52.66,39.12,0.645,13225983,2.01,18.0,11.5
IN,2017,soybean,38.45,69.98,88.67,50.78,38.85,2.82,13219077,1.8,18.0,11.5
IN,2018,soybean,55.89,69.98,87.3,52.06,45.64,0.011,13218664,2.03,18.0,11.5
IN,2019,soybean,56.16,72.01,90.42,53.51,38.52,0.0,13405827,1.89,18.0,11.5
IN,2020,soybean,46.07,69.91,88.57,52.97,42.84,0.597,13066992,2.02,18.0,11.5
IN,2021,soybean,59.11,69.25,85.72,50.49,44.46,0.249,13211138,1.84,18.0,11.5
IN,2022,soybean,48.42,72.53,91.46,58.31,30.26,2.317,13378641,2.05,18.0,11.5
IN,2023,soybean,57.23,70.36,88.41,52.08,41.56,0.177,13406614,2.1,18.0,11.5
KS,2000,soybean,32.05,71.2,90.01,56.91,23.85,1.98,26616123,10.57,18.0,11.5
KS,2001,soybean,39.83,72.42,86.45,55.33,23.83,1.588,26937196,10.37,18.0,11.5
KS,2002,soybean,34.91,72.49,90.52,57.07,15.68,3.246,27410479,9.81,18.0,11.5
KS,2003,soybean,47.43,76.67,92.47,59.13,24.91,1.286,27202310,10.85,18.0,11.5
KS,2004,soybean,45.49,72.87,88.0,58.37,27.84,0.802,27139289,10.68,18.0,11.5
KS,2005,soybean,41.77,74.15,94.15,58.38,24.82,1.343,27048990,10.15,18.0,11.5
KS,2006,soybean,38.22,70.79,87.14,51.3,30.32,2.705,27025476,11.25,18.0,11.5
KS,2007,soybean,48.64,75.58,89.98,60.37,27.12,1.052,27229454,10.75,18.0,11.5
KS,2008,soybean,47.22,73.53,89.59,57.01,20.08,1.393,27104222,10.41,18.0,11.5
KS,2009,soybean,48.28,72.05,87.76,52.67,20.03,0.754,27182820,10.69,18.0,11.5
KS,2010,soybean,44.57,74.02,91.2,55.57,28.75,1.509,27237391,11.59,18.0,11.5
KS,2011,soybean,37.81,72.39,87.83,56.45,27.22,2.353,27052909,11.33,18.0,11.5
KS,2012,soybean,36.59,73.96,92.67,57.33,26.06,3.262,27404254,10.93,18.0,11.5
KS,2013,soybean,43.83,72.73,91.61,53.31,24.48,1.208,28075829,11.34,18.0,11.5
KS,2014,soybean,46.67,74.6,89.21,56.68,24.51,1.526,26817239,10.36,18.0,11.5
KS,2015,soybean,48.87,73.18,87.4,53.42,23.11,1.087,27412533,11.02,18.0,11.5
KS,2016,soybean,46.79,70.31,84.7,53.58,25.3,1.845,27137721,11.08,18.0,11.5
KS,2017,soybean,43.97,72.15,88.46,57.79,21.26,1.887,27525218,10.74,18.0,11.5
KS,2018,soybean,45.31,74.41,90.78,57.91,25.95,1.681,27401551,11.24,18.0,11.5
KS,2019,soybean,55.75,72.22,86.22,55.17,21.74,0.775,27619227,10.57,18.0,11.5
KS,2020,soybean,52.79,74.66,93.34,55.61,25.66,1.851,27754464,11.28,18.0,11.5
KS,2021,soybean,50.05,70.54,87.42,52.44,31.11,1.513,27506426,11.3,18.0,11.5
KS,2022,soybean,36.17,72.17,88.94,53.9,23.5,3.35,27786233,9.4,18.0,11.5
KS,2023,soybean,50.47,73.54,93.06,59.49,28.72,1.723,26852193,11.65,18.0,11.5
MN,2000,soybean,43.33,68.18,82.89,49.08,29.28,0.0,20868042,2.78,18.0,11.5
MN,2001,soybean,42.98,69.28,87.4,55.21,34.58,0.059,20863669,2.8,18.0,11.5
MN,2002,soybean,32.62,64.83,81.48,49.02,29.86,1.906,21195881,2.69,18.0,11.5
MN,2003,soybean,36.82,65.13,85.11,45.85,28.35,0.884,21220723,3.0,18.0,11.5
MN,2004,soybean,45.62,68.12,88.12,50.13,30.48,1.004,21036481,2.83,18.0,11.5
MN,2005,soybean,46.76,67.5,81.67,52.05,29.37,0.779,21001342,2.94,18.0,11.5
MN,2006,soybean,37.68,66.66,84.6,52.44,27.79,2.03,21130325,3.1,18.0,11.5
MN,2007,soybean,34.34,64.45,83.26,49.02,21.83,0.429,20945158,2.9,18.0,11.5
MN,2008,soybean,41.7,68.33,87.9,49.7,33.81,1.231,20892023,3.03,18.0,11.5
MN,2009,soybean,43.13,67.22,81.97,50.19,34.74,0.737,20952331,2.96,18.0,11.5
MN,2010,soybean,49.24,66.18,81.11,47.77,26.89,0.557,21033622,3.1,18.0,11.5
MN,2011,soybean,52.36,68.51,88.39,50.84,31.37,0.284,20938320,3.07,18.0,11.5
MN,2012,soybean,46.15,67.24,85.49,52.2,26.37,1.329,21235959,2.9,18.0,11.5
MN,2013,soybean,43.6,65.96,82.71,47.25,29.34,0.831,21373233,2.97,18.0,11.5
MN,2014,soybean,52.39,68.0,87.67,52.19,24.83,1.127,20898176,3.16,18.0,11.5
MN,2015,soybean,50.12,67.06,86.7,52.17,29.54,0.84,21257340,3.06,18.0,11.5
MN,2016,soybean,43.48,70.29,85.01,55.49,30.56,1.13,21222022,2.79,18.0,11.5
MN,2017,soybean,50.35,68.06,85.87,51.59,24.87,1.292,21358292,3.1,18.0,11.5
MN,2018,soybean,33.86,64.73,80.63,50.51,28.97,1.475,21299643,2.84,18.0,11.5
MN,2019,soybean,54.6,69.21,86.65,51.82,28.58,0.586,21009304,3.21,18.0,11.5
MN,2020,soybean,63.24,67.96,83.86,49.23,33.72,0.243,21066656,3.15,18.0,11.5
MN,2021,soybean,53.57,67.74,83.91,50.67,35.02,0.737,21359082,3.04,18.0,11.5
MN,2022,soybean,35.61,67.69,84.81,48.89,28.41,2.08,21589446,3.02,18.0,11.5
MN,2023,soybean,50.57,68.74,87.79,54.4,29.0,0.882,20912865,2.97,18.0,11.5
MO,2000,soybean,43.4,71.03,90.39,52.54,42.12,0.679,13773892,3.46,18.0,11.5
MO,2001,soybean,37.85,72.36,88.17,52.67,46.28,1.326,14149705,3.37,18.0,11.5
MO,2002,soybean,33.36,73.56,91.88,56.51,37.57,2.333,14073515,3.58,18.0,11.5
MO,2003,soybean,45.26,73.02,89.08,56.57,42.22,0.801,13931713,3.54,18.0,11.5
MO,2004,soybean,45.84,73.62,91.62,55.68,42.65,0.952,14005390,3.48,18.0,11.5
MO,2005,soybean,45.64,71.45,86.63,52.78,34.21,0.382,13845065,3.42,18.0,11.5
MO,2006,soybean,37.08,73.28,88.93,58.45,38.65,2.404,13922953,3.64,18.0,11.5
MO,2007,soybean,48.18,73.69,88.9,56.43,32.62,0.654,14002684,3.46,18.0,11.5
MO,2008,soybean,39.88,70.23,85.76,52.47,43.66,1.275,14262679,3.45,18.0,11.5
MO,2009,soybean,45.72,73.6,91.71,59.46,38.15,0.799,14010624,3.52,18.0,11.5
MO,2010,soybean,49.98,74.73,91.39,55.11,42.37,0.418,14202346,3.8,18.0,11.5
MO,2011,soybean,51.23,74.75,91.69,56.96,37.33,0.456,14047172,3.27,18.0,11.5
MO,2012,soybean,38.61,74.18,93.24,54.31,31.54,2.431,14169445,3.63,18.0,11.5
MO,2013,soybean,49.78,73.61,90.49,56.87,45.15,0.86,14125598,3.17,18.0,11.5
MO,2014,soybean,42.22,74.07,89.61,56.55,39.46,1.382,14280396,3.54,18.0,11.5
MO,2015,soybean,55.15,72.89,92.05,57.88,39.79,0.371,14092227,3.78,18.0,11.5
MO,2016,soybean,51.87,74.2,93.23,59.37,39.31,0.354,13956228,3.59,18.0,11.5
MO,2017,soybean,33.95,71.37,86.52,56.44,41.76,3.114,13994295,3.53,18.0,11.5
MO,2018,soybean,48.94,72.81,92.69,58.39,39.47,0.973,14126064,3.4,18.0,11.5
MO,2019,soybean,59.6,73.75,93.06,55.77,35.11,0.183,14035273,3.51,18.0,11.5
MO,2020,soybean,53.34,74.61,91.16,57.3,40.03,1.118,14282348,3.46,18.0,11.5
MO,2021,soybean,47.65,73.99,93.94,53.99,39.77,1.432,14168896,3.36,18.0,11.5
MO,2022,soybean,43.74,75.13,91.04,58.37,38.48,2.567,14584695,3.45,18.0,11.5
MO,2023,soybean,59.42,74.53,90.65,55.81,35.25,0.482,14009843,3.53,18.0,11.5
ND,2000,soybean,36.13,65.82,81.75,47.33,17.05,0.739,27054980,2.4,18.0,11.5
ND,2001,soybean,31.15,63.7,78.56,44.42,21.97,1.055,26716809,2.4,18.0,11.5
ND,2002,soybean,18.64,62.69,77.0,48.68,13.94,2.44,26909768,2.33,18.0,11.5
ND,2003,soybean,29.54,63.85,81.76,44.91,17.66,1.102,27103074,2.55,18.0,11.5
ND,2004,soybean,17.81,61.2,80.14,43.97,15.6,1.753,26456540,2.57,18.0,11.5
ND,2005,soybean,30.34,63.94,82.37,48.4,18.13,1.164,27172198,2.53,18.0,11.5
ND,2006,soybean,24.66,66.62,82.82,51.3,14.42,2.756,27645851,2.62,18.0,11.5
ND,2007,soybean,28.94,65.21,79.73,50.15,21.57,1.612,27028086,2.51,18.0,11.5
ND,2008,soybean,35.68,64.54,84.48,49.71,16.03,1.479,27243397,2.55,18.0,11.5
ND,2009,soybean,30.72,64.47,83.72,44.62,9.42,0.633,27473121,2.54,18.0,11.5
ND,2010,soybean,34.12,62.69,80.62,46.95,12.72,0.806,27171378,2.49,18.0,11.5
ND,2011,soybean,30.98,63.18,82.15,44.92,16.56,1.055,27079360,2.43,18.0,11.5
ND,2012,soybean,23.34,61.75,77.31,45.24,16.19,1.961,26638852,2.78,18.0,11.5
ND,2013,soybean,31.53,63.39,79.7,47.76,19.46,0.672,27455667,2.44,18.0,11.5
ND,2014,soybean,42.29,65.69,83.75,51.29,17.96,0.649,27271502,2.42,18.0,11.5
ND,2015,soybean,30.27,64.08,81.96,49.05,17.51,1.813,27047294,2.55,18.0,11.5
ND,2016,soybean,37.99,65.97,85.58,51.61,24.77,1.984,27380218,2.53,18.0,11.5
ND,2017,soybean,28.12,63.3,78.58,48.7,12.3,2.001,27207463,2.32,18.0,11.5
ND,2018,soybean,37.14,65.22,80.03,46.06,15.64,0.915,27244070,2.64,18.0,11.5
ND,2019,soybean,31.64,63.43,79.58,47.84,21.1,1.004,27576586,2.49,18.0,11.5
ND,2020,soybean,40.58,64.44,84.02,49.84,13.18,0.476,27064854,2.36,18.0,11.5
ND,2021,soybean,24.39,61.59,76.32,42.47,17.84,1.716,27741125,2.65,18.0,11.5
ND,2022,soybean,33.39,65.87,80.13,49.46,19.12,2.295,27091182,2.58,18.0,11.5
ND,2023,soybean,40.76,65.59,84.43,50.57,14.07,0.726,27314578,2.34,18.0,11.5
NE,2000,soybean,42.15,75.07,89.47,57.5,25.2,1.791,19058784,13.82,18.0,11.5
NE,2001,soybean,45.03,69.65,84.52,50.13,25.52,0.95,19201830,12.52,18.0,11.5
NE,2002,soybean,39.92,69.15,83.27,54.81,23.44,1.831,18808728,14.54,18.0,11.5
NE,2003,soybean,50.6,71.77,89.85,55.4,25.23,1.121,19428179,14.86,18.0,11.5
NE,2004,soybean,39.55,71.14,90.25,56.88,23.66,1.937,18877925,14.45,18.0,11.5
NE,2005,soybean,37.72,73.38,89.88,59.08,20.11,1.576,19218921,13.38,18.0,11.5
NE,2006,soybean,44.13,71.88,86.48,52.82,24.36,1.508,18769065,14.47,18.0,11.5
NE,2007,soybean,47.09,70.58,89.26,52.73,22.98,1.059,18928659,14.6,18.0,11.5
NE,2008,soybean,51.28,70.93,88.01,51.78,15.02,1.005,19411553,15.09,18.0,11.5
NE,2009,soybean,42.03,71.56,87.16,56.72,17.85,1.231,19086872,13.39,18.0,11.5
NE,2010,soybean,45.92,73.77,89.97,57.57,22.85,1.075,19312861,13.84,18.0,11.5
NE,2011,soybean,42.5,69.91,85.69,50.22,26.04,1.793,19212617,14.52,18.0,11.5
NE,2012,soybean,45.93,72.03,91.13,54.12,25.27,2.11,19162266,14.04,18.0,11.5
NE,2013,soybean,49.3,71.55,87.28,53.14,19.88,1.413,19459426,13.22,18.0,11.5
NE,2014,soybean,43.78,71.22,88.91,56.65,30.37,1.392,19167331,14.29,18.0,11.5
NE,2015,soybean,47.2,69.32,84.15,49.57,22.19,1.704,18885599,14.41,18.0,11.5
NE,2016,soybean,57.59,72.45,91.22,52.78,24.11,0.613,19088630,14.06,18.0,11.5
NE,2017,soybean,37.54,72.03,89.42,54.6,14.69,2.117,19364550,14.15,18.0,11.5
NE,2018,soybean,55.0,71.73,90.53,54.78,16.78,0.864,19349828,13.82,18.0,11.5
NE,2019,soybean,48.32,72.49,87.19,57.97,25.29,1.439,18986533,15.03,18.0,11.5
NE,2020,soybean,53.61,70.9,88.93,54.9,24.82,1.194,19164172,13.37,18.0,11.5
NE,2021,soybean,52.01,72.11,88.3,56.23,23.47,1.253,19206816,13.59,18.0,11.5
NE,2022,soybean,41.77,70.29,86.59,51.91,18.9,2.507,19263738,14.01,18.0,11.5
NE,2023,soybean,55.45,72.09,88.96,55.83,28.65,1.443,19083366,14.62,18.0,11.5
OH,2000,soybean,45.33,67.73,85.45,52.28,43.16,0.092,11174949,1.27,18.0,11.5
OH,2001,soybean,45.19,67.43,81.46,48.31,45.29,0.707,11050089,1.45,18.0,11.5
OH,2002,soybean,29.17,68.82,84.35,49.31,31.77,2.892,11136352,1.58,18.0,11.5
OH,2003,soybean,46.83,72.6,88.77,53.73,41.99,0.756,10891891,1.48,18.0,11.5
OH,2004,soybean,49.48,70.76,86.06,54.28,41.59,0.755,10943522,1.39,18.0,11.5
OH,2005,soybean,53.84,70.65,86.73,56.54,37.05,0.0,11060117,1.42,18.0,11.5
OH,2006,soybean,37.68,72.63,88.53,53.29,40.2,2.013,11050916,1.58,18.0,11.5
OH,2007,soybean,55.51,70.53,88.69,55.49,39.21,0.0,11092911,1.36,18.0,11.5
OH,2008,soybean,48.74,70.21,84.31,50.25,42.13,0.505,11190460,1.58,18.0,11.5
OH,2009,soybean,47.09,70.66,89.95,53.45,35.21,0.44,10883627,1.5,18.0,11.5
OH,2010,soybean,51.98,69.31,86.87,53.54,40.37,0.0,11195977,1.41,18.0,11.5
OH,2011,soybean,51.95,70.21,87.79,54.83,42.59,0.516,11097719,1.46,18.0,11.5
OH,2012,soybean,40.05,68.9,85.28,50.84,40.2,2.351,11082968,1.42,18.0,11.5
OH,2013,soybean,54.42,70.27,90.17,53.75,39.76,0.419,10950894,1.56,18.0,11.5
OH,2014,soybean,51.36,69.68,86.8,53.23,36.8,0.625,11179155,1.55,18.0,11.5
OH,2015,soybean,50.67,69.96,88.06,55.07,35.01,0.308,10863261,1.37,18.0,11.5
OH,2016,soybean,62.05,72.57,91.73,53.1,34.93,0.0,11213036,1.47,18.0,11.5
OH,2017,soybean,53.51,70.64,86.91,53.53,39.66,0.964,10983236,1.44,18.0,11.5
OH,2018,soybean,57.77,71.18,88.6,56.56,37.67,0.199,11164365,1.6,18.0,11.5
OH,2019,soybean,53.78,69.41,84.01,54.19,45.43,0.366,11153892,1.4,18.0,11.5
OH,2020,soybean,56.08,73.37,89.63,55.05,38.67,0.552,11306707,1.62,18.0,11.5
OH,2021,soybean,54.0,71.25,88.9,53.76,36.52,0.888,11164817,1.5,18.0,11.5
OH,2022,soybean,48.0,70.08,85.26,53.82,35.91,2.241,11115900,1.41,18.0,11.5
OH,2023,soybean,60.91,71.28,89.38,55.24,41.33,0.107,11145648,1.45,18.0,11.5
SD,2000,soybean,34.86,65.98,84.5,46.69,18.57,1.632,17216390,3.84,18.0,11.5
SD,2001,soybean,35.23,66.16,83.29,49.35,20.84,1.412,17104843,3.75,18.0,11.5
SD,2002,soybean,36.61,69.08,87.0,52.11,12.53,2.577,16961538,4.02,18.0,11.5
SD,2003,soybean,37.16,67.8,86.38,48.54,21.79,1.679,17000507,3.75,18.0,11.5
SD,2004,soybean,31.55,66.58,86.3,52.15,22.01,1.798,16787127,3.56,18.0,11.5
SD,2005,soybean,43.76,67.57,82.15,48.5,18.08,1.077,17134304,3.92,18.0,11.5
SD,2006,soybean,35.6,68.26,83.23,49.15,17.42,1.92,16780995,3.64,18.0,11.5
SD,2007,soybean,45.73,68.92,85.14,52.49,21.36,1.241,17223721,3.85,18.0,11.5
SD,2008,soybean,48.85,70.5,90.15,55.78,20.21,0.789,17130805,3.82,18.0,11.5
SD,2009,soybean,47.64,68.41,87.49,53.34,22.39,1.522,17531103,3.83,18.0,11.5
SD,2010,soybean,35.68,67.48,85.74,48.37,26.03,1.512,16947480,4.4,18.0,11.5
SD,2011,soybean,45.27,70.29,85.76,55.33,17.97,1.348,17131993,4.01,18.0,11.5
SD,2012,soybean,31.42,68.19,85.13,51.01,20.46,2.784,17471843,4.05,18.0,11.5
SD,2013,soybean,41.09,68.56,83.31,48.85,25.08,1.959,17381442,3.64,18.0,11.5
SD,2014,soybean,39.56,68.92,86.25,53.68,20.69,1.676,17070718,3.87,18.0,11.5
SD,2015,soybean,39.8,69.74,89.24,53.81,22.72,1.78,17242531,4.04,18.0,11.5
SD,2016,soybean,38.84,68.97,86.16,53.84,10.74,1.453,17217944,3.8,18.0,11.5
SD,2017,soybean,28.98,66.18,81.1,46.66,14.99,2.557,17279784,4.18,18.0,11.5
SD,2018,soybean,45.59,70.55,89.32,52.81,20.99,1.463,17124313,3.76,18.0,11.5
SD,2019,soybean,47.9,70.93,90.47,54.3,20.62,1.286,17242984,3.94,18.0,11.5
SD,2020,soybean,42.34,66.79,82.47,52.42,24.24,1.314,16995984,3.88,18.0,11.5
SD,2021,soybean,55.21,68.34,86.13,51.98,23.16,0.9,17308956,4.03,18.0,11.5
SD,2022,soybean,37.32,70.32,88.28,52.72,20.63,3.012,17377049,3.87,18.0,11.5
SD,2023,soybean,42.8,66.66,81.73,48.59,22.31,1.553,17273427,3.95,18.0,11.5
TX,2000,soybean,44.81,77.43,93.81,60.76,25.21,1.107,24075316,13.48,18.0,11.5
TX,2001,soybean,34.19,79.24,94.38,63.53,18.06,2.331,23901086,12.7,18.0,11.5
TX,2002,soybean,26.36,79.41,98.39,59.56,21.22,2.825,24253028,13.65,18.0,11.5
TX,2003,soybean,37.43,78.07,96.85,60.8,22.62,1.916,23871271,12.35,18.0,11.5
TX,2004,soybean,29.15,80.2,98.43,63.31,20.89,1.734,23927777,13.19,18.0,11.5
TX,2005,soybean,42.58,75.72,92.07,61.18,18.2,1.935,23937840,13.6,18.0,11.5
TX,2006,soybean,29.73,77.27,94.94,63.06,21.97,2.298,23978795,13.43,18.0,11.5
TX,2007,soybean,29.31,80.85,96.16,63.76,24.01,1.236,24399683,14.25,18.0,11.5
TX,2008,soybean,31.25,79.94,94.23,65.01,20.28,1.568,24305476,12.5,18.0,11.5
TX,2009,soybean,35.99,79.29,98.76,62.06,21.97,2.005,24586141,12.1,18.0,11.5
TX,2010,soybean,38.57,77.76,95.47,58.58,26.41,2.347,24740588,12.35,18.0,11.5
TX,2011,soybean,42.06,77.19,92.55,60.56,25.4,1.811,23961651,13.43,18.0,11.5
TX,2012,soybean,29.94,78.13,93.22,62.2,20.56,3.006,24247462,13.32,18.0,11.5
TX,2013,soybean,39.15,79.61,94.98,61.28,24.61,1.692,23964376,13.07,18.0,11.5
TX,2014,soybean,40.25,77.19,91.83,60.2,22.83,1.767,24080084,12.27,18.0,11.5
TX,2015,soybean,43.81,77.91,97.88,60.99,25.92,1.534,24134965,13.5,18.0,11.5
TX,2016,soybean,36.55,79.06,96.62,63.7,21.5,1.916,24050235,12.2,18.0,11.5
TX,2017,soybean,21.22,80.72,100.1,63.86,18.51,3.785,24070513,13.75,18.0,11.5
TX,2018,soybean,38.03,78.48,97.17,61.91,21.6,2.72,24310473,14.86,18.0,11.5
TX,2019,soybean,45.07,78.79,94.88,60.82,25.37,1.51,24068348,13.24,18.0,11.5
TX,2020,soybean,47.56,77.5,94.06,58.63,22.14,1.285,24589344,13.38,18.0,11.5
TX,2021,soybean,47.64,76.83,92.12,58.36,22.38,2.25,24179238,12.68,18.0,11.5
TX,2022,soybean,38.08,75.61,94.97,59.97,27.45,2.644,25108564,11.82,18.0,11.5
TX,2023,soybean,44.18,78.26,93.44,62.51,23.97,1.846,24331274,12.61,18.0,11.5
WI,2000,soybean,42.08,66.12,82.51,48.61,32.09,0.828,9173065,3.27,18.0,11.5
WI,2001,soybean,40.51,66.9,81.52,47.7,28.5,1.273,9108743,3.1,18.0,11.5
WI,2002,soybean,35.7,67.53,85.33,47.97,23.35,1.74,9023198,3.0,18.0,11.5
WI,2003,soybean,31.27,63.92,80.63,46.51,29.21,0.721,8936749,3.24,18.0,11.5
WI,2004,soybean,31.53,65.12,81.05,49.05,31.87,1.296,8981013,3.02,18.0,11.5
WI,2005,soybean,41.91,65.5,83.84,49.17,34.79,0.421,9042621,3.0,18.0,11.5
WI,2006,soybean,32.51,66.05,85.01,46.48,31.29,2.393,9046593,2.9,18.0,11.5
WI,2007,soybean,51.66,68.4,88.07,52.04,33.31,0.351,9042175,3.09,18.0,11.5
